"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 27 14:36:03 CDT 2020","Mon Jul 27 14:36:44 CDT 2020","40857","","","","","","Abrir con URL",""
"passed","Mon Jul 27 14:40:27 CDT 2020","Mon Jul 27 14:41:15 CDT 2020","48213","","","","","","Busqueda de texto en Spotify",""
"passed","Mon Jul 27 14:37:41 CDT 2020","Mon Jul 27 14:38:36 CDT 2020","54572","","","","","","Tomar captura de pantalla",""
"passed","Mon Jul 27 14:36:44 CDT 2020","Mon Jul 27 14:37:00 CDT 2020","15527","","","","","","Abrir con navegador",""
"passed","Mon Jul 27 14:35:38 CDT 2020","Mon Jul 27 14:36:03 CDT 2020","24738","","","","","","Abrir el navegador",""
"passed","Mon Jul 27 14:38:36 CDT 2020","Mon Jul 27 14:39:44 CDT 2020","68189","","","","","","Clics Dropdowns y textbox",""
"passed","Mon Jul 27 14:37:00 CDT 2020","Mon Jul 27 14:37:41 CDT 2020","41449","","","","","","Establecer el DOM",""
"passed","Mon Jul 27 14:39:44 CDT 2020","Mon Jul 27 14:40:27 CDT 2020","43077","","","","","","Frames y Ventanas",""
